Time (ps),Pressure (bar)
0.000000,-88.200104

1.000000,106.646278

2.000000,-4.043081

3.000000,-44.995495

4.000000,55.887554

5.000000,-192.275650

6.000000,-0.288541

7.000000,93.483406

8.000000,88.275810

9.000000,-187.174362

10.000000,185.321350

11.000000,-255.392868

12.000000,52.687714

13.000000,-318.890656

14.000000,-137.441879

15.000000,-96.548088

16.000000,-84.802086

17.000000,-38.351337

18.000000,7.688563

19.000000,-41.552719

20.000000,35.442677

21.000000,-207.068314

22.000000,33.234406

23.000000,23.145462

24.000000,277.257355

25.000000,-13.742215

26.000000,-49.311371

27.000000,82.655975

28.000000,25.682144

29.000000,-84.780243

30.000000,237.999817

31.000000,-136.419998

32.000000,-135.694077

33.000000,-132.020447

34.000000,26.793535

35.000000,57.787434

36.000000,-71.237976

37.000000,129.048340

38.000000,94.328613

39.000000,-107.974525

40.000000,-7.489868

41.000000,-134.618378

42.000000,17.426483

43.000000,-150.537186

44.000000,-175.813828

45.000000,-0.082692

46.000000,174.165955

47.000000,-276.728729

48.000000,-53.591579

49.000000,113.549431

50.000000,-133.438309

51.000000,-97.123352

52.000000,205.310471

53.000000,-242.576859

54.000000,42.139332

55.000000,19.636303

56.000000,-226.904602

57.000000,-35.102829

58.000000,-138.069229

59.000000,179.367569

60.000000,-117.661888

61.000000,-85.052132

62.000000,-110.613869

63.000000,-12.000234

64.000000,-4.576589

65.000000,337.828339

66.000000,-102.093544

67.000000,68.734581

68.000000,-118.335442

69.000000,113.796547

70.000000,51.178295

71.000000,-68.922455

72.000000,146.787247

73.000000,145.965210

74.000000,-23.279472

75.000000,-24.752325

76.000000,104.542053

77.000000,-243.824509

78.000000,-95.332161

79.000000,-104.720375

80.000000,-6.507815

81.000000,-53.695606

82.000000,-212.303665

83.000000,52.821743

84.000000,232.928177

85.000000,-26.212793

86.000000,-66.158089

87.000000,-123.174927

88.000000,192.596146

89.000000,-85.686684

90.000000,147.298843

91.000000,-34.179947

92.000000,179.749985

93.000000,-107.792946

94.000000,134.500412

95.000000,-84.829353

96.000000,-157.938889

97.000000,-60.893406

98.000000,-136.538834

99.000000,161.172531

100.000000,14.293545

101.000000,-176.263367

102.000000,-20.222452

103.000000,-331.962677

104.000000,97.227051

105.000000,41.177937

106.000000,203.821655

107.000000,13.145390

108.000000,26.760126

109.000000,-146.434769

110.000000,-251.973801

111.000000,-240.707153

112.000000,55.362183

113.000000,146.684509

114.000000,-10.650075

115.000000,2.650497

116.000000,205.856262

117.000000,-19.591024

118.000000,147.183273

119.000000,-40.947372

120.000000,83.488655

121.000000,168.465881

122.000000,-153.602524

123.000000,-112.948753

124.000000,22.282919

125.000000,177.443924

126.000000,-240.243362

127.000000,263.038239

128.000000,137.721481

129.000000,22.837164

130.000000,49.570232

131.000000,208.487015

132.000000,-14.773028

133.000000,-98.199974

134.000000,26.204493

135.000000,116.188148

136.000000,-120.035988

137.000000,19.995537

138.000000,-36.459362

139.000000,16.167183

140.000000,284.988770

141.000000,-158.406250

142.000000,-2.605428

143.000000,92.842567

144.000000,10.307460

145.000000,168.360641

146.000000,143.432922

147.000000,-254.689682

148.000000,-44.463551

149.000000,-217.940353

150.000000,64.587257

151.000000,-17.468946

152.000000,162.220245

153.000000,-106.397827

154.000000,-100.674446

155.000000,-119.742470

156.000000,-188.680313

157.000000,-15.073024

158.000000,94.530579

159.000000,156.577103

160.000000,-211.769730

161.000000,214.686356

162.000000,-42.890835

163.000000,-48.105438

164.000000,-156.894135

165.000000,-75.893188

166.000000,47.960739

167.000000,96.177246

168.000000,60.943958

169.000000,-152.054626

170.000000,-80.454514

171.000000,407.012970

172.000000,75.206932

173.000000,-170.774246

174.000000,46.675167

175.000000,111.946114

176.000000,-131.586700

177.000000,6.807658

178.000000,94.940742

179.000000,9.366584

180.000000,213.910645

181.000000,-12.473653

182.000000,-27.959932

183.000000,-210.198898

184.000000,59.371876

185.000000,-90.012756

186.000000,-12.597911

187.000000,-65.837685

188.000000,-62.455128

189.000000,139.566254

190.000000,196.253128

191.000000,-14.908752

192.000000,-23.792221

193.000000,-19.423698

194.000000,164.765259

195.000000,-22.371073

196.000000,48.121243

197.000000,216.127151

198.000000,-85.083061

199.000000,-71.913795

200.000000,36.993359

201.000000,47.599545

202.000000,163.208603

203.000000,-38.974823

204.000000,236.296997

205.000000,-38.127888

206.000000,-54.374268

207.000000,78.999855

208.000000,183.034958

209.000000,195.600082

210.000000,-124.396263

211.000000,-225.192276

212.000000,-119.259865

213.000000,-46.035343

214.000000,62.253082

215.000000,-219.300491

216.000000,20.219511

217.000000,-47.539562

218.000000,206.972763

219.000000,-115.475548

220.000000,175.882309

221.000000,-14.278491

222.000000,-1.495117

223.000000,98.705238

224.000000,-118.250481

225.000000,-86.890724

226.000000,28.444305

227.000000,117.737915

228.000000,-341.856049

229.000000,-227.519363

230.000000,-59.901703

231.000000,131.836716

232.000000,59.641933

233.000000,82.826607

234.000000,-107.651314

235.000000,172.725357

236.000000,165.583206

237.000000,-238.561157

238.000000,82.780113

239.000000,177.698502

240.000000,-14.586375

241.000000,-43.240570

242.000000,-91.520355

243.000000,2.362235

244.000000,65.313644

245.000000,114.639503

246.000000,-60.658722

247.000000,-64.507622

248.000000,-134.087265

249.000000,356.871246

250.000000,-71.067818

251.000000,214.221939

252.000000,43.459408

253.000000,-150.860901

254.000000,142.109451

255.000000,-162.713379

256.000000,-71.654030

257.000000,-249.620316

258.000000,104.516258

259.000000,29.372866

260.000000,311.745422

261.000000,-78.253700

262.000000,-42.288818

263.000000,-303.951324

264.000000,-167.763962

265.000000,-192.304886

266.000000,-100.795288

267.000000,22.642944

268.000000,75.155952

269.000000,64.393883

270.000000,-94.377953

271.000000,175.778137

272.000000,-136.070694

273.000000,-157.897263

274.000000,9.250772

275.000000,24.515625

276.000000,-81.188667

277.000000,80.665504

278.000000,-105.275841

279.000000,-105.610756

280.000000,-207.290237

281.000000,26.181620

282.000000,-66.704803

283.000000,4.293090

284.000000,16.911367

285.000000,-117.316948

286.000000,-70.819542

287.000000,158.983475

288.000000,-38.407227

289.000000,284.890137

290.000000,326.952484

291.000000,-16.351461

292.000000,-129.026291

293.000000,-34.352768

294.000000,-40.871277

295.000000,61.778927

296.000000,10.853457

297.000000,-79.324638

298.000000,21.125595

299.000000,22.274271

300.000000,-156.946228

301.000000,160.546432

302.000000,-217.146912

303.000000,-95.913918

304.000000,212.169144

305.000000,-139.622513

306.000000,452.187958

307.000000,-94.384941

308.000000,-243.973099

309.000000,197.343216

310.000000,1.896612

311.000000,-43.837692

312.000000,-112.242668

313.000000,37.781937

314.000000,-136.983994

315.000000,-69.252289

316.000000,287.747955

317.000000,93.528984

318.000000,57.951214

319.000000,112.762535

320.000000,127.899628

321.000000,-136.917068

322.000000,-58.643253

323.000000,124.870811

324.000000,7.904289

325.000000,-260.420044

326.000000,-174.674911

327.000000,-53.488964

328.000000,165.873093

329.000000,47.061512

330.000000,89.714355

331.000000,-19.277258

332.000000,-14.815648

333.000000,-98.758392

334.000000,-73.357262

335.000000,14.506257

336.000000,126.953705

337.000000,46.772186

338.000000,222.021988

339.000000,86.418152

340.000000,-102.206200

341.000000,-65.411247

342.000000,63.289623

343.000000,10.960713

344.000000,-101.885597

345.000000,-16.417236

346.000000,-3.200330

347.000000,-287.899506

348.000000,-123.454170

349.000000,-111.224846

350.000000,-221.072632

351.000000,26.864021

352.000000,144.513565

353.000000,-121.143623

354.000000,-145.514297

355.000000,49.140247

356.000000,45.254120

357.000000,-8.608994

358.000000,24.337450

359.000000,-179.697693

360.000000,-255.091019

361.000000,69.854408

362.000000,-155.959991

363.000000,79.000130

364.000000,54.357227

365.000000,-101.318199

366.000000,22.556601

367.000000,-92.889893

368.000000,109.806725

369.000000,16.507120

370.000000,-24.954596

371.000000,103.270775

372.000000,-300.034943

373.000000,69.044769

374.000000,138.257187

375.000000,-58.030811

376.000000,32.885105

377.000000,-271.884796

378.000000,-238.904434

379.000000,-332.420807

380.000000,104.612556

381.000000,9.618337

382.000000,-60.336475

383.000000,45.351871

384.000000,-62.289612

385.000000,-120.679169

386.000000,-341.816650

387.000000,-56.137421

388.000000,40.931263

389.000000,-49.394573

390.000000,-61.766705

391.000000,-139.109924

392.000000,-48.820496

393.000000,145.007309

394.000000,-303.895386

395.000000,-9.531997

396.000000,-15.327348

397.000000,-157.906967

398.000000,-39.361797

399.000000,336.577789

400.000000,-38.671295

401.000000,-281.928070

402.000000,-51.952015

403.000000,133.069809

404.000000,-53.448307

405.000000,-154.495605

406.000000,94.690102

407.000000,-234.826614

408.000000,3.780294

409.000000,-132.391159

410.000000,18.821993

411.000000,159.691910

412.000000,-360.615356

413.000000,55.054798

414.000000,72.405777

415.000000,24.069473

416.000000,-34.005665

417.000000,-9.545560

418.000000,122.103020

419.000000,200.103867

420.000000,347.657471

421.000000,-204.099014

422.000000,69.519928

423.000000,-85.742790

424.000000,-344.658447

425.000000,254.400009

426.000000,122.446503

427.000000,49.961842

428.000000,-101.114769

429.000000,158.477493

430.000000,-104.194618

431.000000,23.952057

432.000000,-25.000946

433.000000,3.331848

434.000000,-56.360504

435.000000,-142.601151

436.000000,55.168507

437.000000,-66.289825

438.000000,-239.602737

439.000000,-330.382111

440.000000,216.699097

441.000000,74.393723

442.000000,-162.315430

443.000000,264.272308

444.000000,-142.966629

445.000000,-248.290329

446.000000,72.656715

447.000000,-27.325068

448.000000,-131.470337

449.000000,-12.997081

450.000000,116.970131

451.000000,236.874619

452.000000,-151.509476

453.000000,-109.418358

454.000000,-197.110764

455.000000,-130.363876

456.000000,-97.377357

457.000000,106.358429

458.000000,-95.781319

459.000000,101.557289

460.000000,-253.989304

461.000000,-120.780487

462.000000,209.425247

463.000000,38.409817

464.000000,85.027893

465.000000,-111.108093

466.000000,-84.017174

467.000000,270.747162

468.000000,-13.348660

469.000000,77.791519

470.000000,233.068726

471.000000,-39.882568

