Time (ps),Potential (kJ/mol)
0.000000,1681.906982

1.000000,456.840027

2.000000,-973.373230

3.000000,-2360.654053

4.000000,-3439.294922

Time (ps),Potential (kJ/mol)
0.000000,1681.906982

1.000000,456.840027

2.000000,-973.373230

3.000000,-2360.654053

4.000000,-3439.294922

